id,coin_rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,marketCap_to_supply
eos,50,EOS,EOS,1538550751.1784,0.0,1420594665.009655,54327835.13573383,0.9233329897772948,1.9986161937336608,0.9175148651513866,0.9233329897772948
quant,51,QNT,Quant,12072738.0,14881364.0,1420474507.08805,7199086.60515525,117.65968143167272,0.0915156820750166,117.49564116236954,117.65968143167274
kucoin-token,52,KCS,KuCoin Token,122665482.14607972,200000000.0,1370168859.6662197,1067350.957244801,11.169962696062406,1.380589477627369,11.093980022564049,11.169962696062408
iota,53,IOTA,IOTA,3573984254.0,0.0,1364174302.98646,44818646.64642536,0.3816956668064996,3.741259798684478,0.3842116493793927,0.3816956668064996
flow,54,FLOW,Flow,1554936091.0739655,0.0,1279661764.4734883,12307102.624429671,0.8229674337224046,0.9520589974026206,0.8310729702142128,0.8229674337224044
aioz-network,55,AIOZ,AIOZ Network,1148751457.4054108,0.0,1262045850.7434494,26398065.18128044,1.098623938718587,-5.52340051339624,1.140008449943119,1.098623938718587
curve-dao-token,56,CRV,Curve DAO Token,1263816823.0,0.0,1247953857.6018617,60712621.78687311,0.9874483666387004,-0.4513359829366386,1.0004504392491995,0.9874483666387005
arweave,57,AR,Arweave,65652466.0,66000000.0,1228505178.1691022,16441895.31555065,18.712247277491485,-3.063442680840236,19.09462689358344,18.712247277491482
xinfin-network,58,XDC,XinFin Network,12293293518.55,0.0,1206845311.247326,6176831.412843983,0.0981710319879903,1.5212678751387811,0.1003487575305818,0.0981710319879903
bitcoin-sv,59,BSV,Bitcoin SV,19807828.125,0.0,1175263512.108508,7047570.844227555,59.33328503720081,1.7225226024857572,59.17381718470999,59.333285037200824
neo,60,NEO,Neo,70538831.0,100000000.0,1153614228.0473864,16483500.287090324,16.35431452000369,1.682683056674563,16.537242623673585,16.35431452000369
ftx-token,61,FTT,FTX Token,328895103.813207,0.0,1136269753.5312035,33917503.44754955,3.454808966011661,8.699334031448817,3.342030668268754,3.454808966011661
axie-infinity,62,AXS,Axie Infinity,157414816.14609423,0.0,1121773142.6172822,21045297.992538262,7.126223376433526,0.9676195318211978,7.248826276248243,7.126223376433525
decentraland,63,MANA,Decentraland,1942255184.1130493,0.0,1098769036.448313,34975099.3432847,0.5657181638313284,0.9966940255593896,0.5764709454863652,0.5657181638313284
helium,64,HNT,Helium,176072254.81199473,223000000.0,1094283671.948182,3006220.573424023,6.21496937786495,-3.984992144960369,6.44843280867302,6.214969377864952
polygon,65,MATIC,Polygon,1913783718.0,0.0,998170643.0246904,4043318.628325653,0.521569200132933,0.3599131691666131,0.5247918644063266,0.5215692001329328
zcash,66,ZEC,Zcash,16328268.75,21000000.0,950991196.2271602,78876933.08037035,58.24201026989834,0.0455876037700074,59.14010351407599,58.242010269898344
akash-network,67,AKT,Akash Network,248285794.661141,388539008.0,934029261.3514702,6615661.68825438,3.761911802591155,2.670297606971837,3.8041358144972897,3.7619118025911544
